assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
768495,158243,Ipomoea wightii,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,CONVOLVULACEAE,Ipomoea,wightii,,,,(Wall.) Choisy,Least Concern,,3.1,Unknown,Global
772740,158344,Pupalia lappacea,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,AMARANTHACEAE,Pupalia,lappacea,,,,(L.) Juss.,Least Concern,,3.1,Unknown,Global
1017558,163990,Eleocharis palustris,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Eleocharis,palustris,,,,(L.) Roem. &amp; Schult.,Least Concern,,3.1,Unknown,Global
1019624,164022,Leersia hexandra,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Leersia,hexandra,,,,Sw.,Least Concern,,3.1,Stable,Global
1019922,164036,Veronica anagallis-aquatica,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,PLANTAGINACEAE,Veronica,anagallis-aquatica,,,,L.,Least Concern,,3.1,Unknown,Global
1021826,164064,Phalaris arundinacea,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Phalaris,arundinacea,,,,L.,Least Concern,,3.1,Unknown,Global
1023200,164118,Leersia oryzoides,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Leersia,oryzoides,,,,(L.) Sw.,Least Concern,,3.1,Unknown,Global
1027583,164175,Ranunculus sceleratus,PLANTAE,TRACHEOPHYTA,RANUNCULALES,MAGNOLIOPSIDA,RANUNCULACEAE,Ranunculus,sceleratus,,,,L.,Least Concern,,3.1,Unknown,Global
1029195,164189,Potamogeton perfoliatus,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,POTAMOGETONACEAE,Potamogeton,perfoliatus,,,,L.,Least Concern,,3.1,Stable,Global
1034194,164247,Eleocharis acicularis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Eleocharis,acicularis,,,,(L.) Roem. &amp; Schult.,Least Concern,,3.1,Unknown,Global
1036571,164276,Bolboschoenus maritimus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Bolboschoenus,maritimus,,,,(L.) Palla,Least Concern,,3.1,Stable,Global
1041579,164330,Fimbristylis squarrosa,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Fimbristylis,squarrosa,,,,Vahl,Least Concern,,3.1,Stable,Global
1042718,164335,Myriophyllum verticillatum,PLANTAE,TRACHEOPHYTA,SAXIFRAGALES,MAGNOLIOPSIDA,HALORAGACEAE,Myriophyllum,verticillatum,,,,L.,Least Concern,,3.1,Unknown,Global
1043245,164340,Arundo donax,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Arundo,donax,,,,L.,Least Concern,,3.1,Unknown,Global
1044291,164347,Epilobium hirsutum,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,ONAGRACEAE,Epilobium,hirsutum,,,,L.,Least Concern,,3.1,Unknown,Global
1044991,164348,Pycreus flavidus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Pycreus,flavidus,,,,(Retz.) Koyama,Least Concern,,3.1,Unknown,Global
1048733,164411,Persicaria lapathifolia,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Persicaria,lapathifolia,,,,(L.) Delarbre,Least Concern,,3.1,Unknown,Global
1051649,164450,Epilobium parviflorum,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,ONAGRACEAE,Epilobium,parviflorum,,,,Schreber,Least Concern,,3.1,Unknown,Global
1056668,164512,Catabrosa aquatica,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Catabrosa,aquatica,,,,(L.) P.Beauv.,Least Concern,,3.1,Unknown,Global
1057132,164521,Potentilla supina,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,ROSACEAE,Potentilla,supina,,,,L.,Least Concern,,3.1,Unknown,Global
1193827,168638,Isachne globosa,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Isachne,globosa,,,,(Thunb.) Kuntze,Least Concern,,3.1,Increasing,Global
1207818,168688,Ischaemum rugosum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Ischaemum,rugosum,,,,Salisb.,Least Concern,,3.1,Unknown,Global
1210378,168696,Eleocharis acutangula,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Eleocharis,acutangula,,,,(Roxb.) Schult.,Least Concern,,3.1,Stable,Global
1215533,168721,Sacciolepis indica,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Sacciolepis,indica,,,,(L.) A.Chase,Least Concern,,3.1,Unknown,Global
1217340,168729,Poa annua,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Poa,annua,,,,L.,Least Concern,,3.1,Increasing,Global
1219085,168737,Epilobium palustre,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,ONAGRACEAE,Epilobium,palustre,,,,L.,Least Concern,,3.1,Unknown,Global
1220938,168748,Beckmannia syzigachne,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Beckmannia,syzigachne,,,,(Steud.) Fern.,Least Concern,,3.1,Unknown,Global
1222438,168752,Utricularia striatula,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LENTIBULARIACEAE,Utricularia,striatula,,,,Sm.,Least Concern,,3.1,Unknown,Global
1232277,168797,Cyperus unioloides,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Cyperus,unioloides,,,,R.Br.,Least Concern,,3.1,Stable,Global
1233453,168800,Calamagrostis pseudophragmites,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Calamagrostis,pseudophragmites,,,,(Hall.f.) Koel,Least Concern,,3.1,Unknown,Global
1247579,168879,Paspalidium flavidum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Paspalidium,flavidum,,,,(Retz.) A.Camus,Least Concern,,3.1,Unknown,Global
1250548,168896,Eriocaulon setaceum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,ERIOCAULACEAE,Eriocaulon,setaceum,,,,L.,Least Concern,,3.1,Stable,Global
1251373,168900,Bergia ammannioides,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,ELATINACEAE,Bergia,ammannioides,,,,Roxb.,Least Concern,,3.1,Unknown,Global
1254322,168930,Bergia capensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,ELATINACEAE,Bergia,capensis,,,,L.,Least Concern,,3.1,Unknown,Global
1254478,168931,Persicaria glabrum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Persicaria,glabrum,,,,(Willd. ) M.Gomez,Least Concern,,3.1,Unknown,Global
1257189,168957,Eriocaulon cinereum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,ERIOCAULACEAE,Eriocaulon,cinereum,,,,R.Br.,Least Concern,,3.1,Increasing,Global
1257601,168958,Schoenoplectiella articulata,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Schoenoplectiella,articulata,,,,(L.) Lye,Least Concern,,3.1,Stable,Global
